what you re allergic to cocaine that sucks concerned friend,0,-6,63,-0.6,5 12
 my mom told me to pull an all nighter ,0,0,39,0,5 12
overheard 4 hours into stat 430 studying ohhhhhh it s math ,46,0,63,0,5 10
psa to all alexander lees shared with permission at hopes of this getting fixed,4,3,81,0.21428571428571427,5 12
from a stressed wharton mba i didn t come to fucking business school to work,30,-6,78,-0.4,5 7
contemplating senior there s too much beer in this apartment ,10,0,63,0,5 12
 is this bachata or is this sex confused girl at bachata on the patio at city tap,25,-2,84,-0.11764705882352941,5 10
hallway in hill that s math 240 for ya too high of a number for me rip all the sad math 240 kids,11,-2,104,-0.08695652173913043,5 10
my life is defective not to worry there s always jordan canonical form ,36,-6,73,-0.46153846153846156,5 10
overheard at ochatto is that hulk or shrek ,1,0,45,0,5 11
 dude fuck the bros when push comes to shove you re gonna take the hoe every day before the bro in response to someone saying bros before hoes,0,-4,148,-0.14285714285714285,5 12
15th hour in a gsr that looks like a flooded grad student s office in the basement of drl i m realizing i should have really used reading days for reading ,0,2,158,0.06451612903225806,5 11
overheard near huntsman person 1 i just got penetrated by my exam person 2 ayyyyeeeee ,0,0,94,0,5 11
 i m jewish i should know this upperclassmen learning the workings of hillel dining,1,0,87,0,5 11
overheard on locust one day the revolution will come the oceans will rise and wharton will drown,44,-1,99,-0.058823529411764705,5 9
no one absolutely fucking no one hill fire alarm at the most inconvenient time can i have your attention please an emergency has been reported in the building ,45,-13,165,-0.4642857142857143,5 9
 dammit i fell asleep again junior who slept through hey day,138,0,64,0,5 2
 i m addicted to linkedin now i won t rest until i hit 500 ,44,3,61,0.21428571428571427,"6 21,"
 if people want chlamydia let them have it ,1,1,43,0.125,5 10
,124,0,0,0,4 30
whartonite is there an easier way to answer that question like without all the with disgust math and stuff ta uhhhhhh no courtesy of a stat review session,43,0,166,0,5 6
anxious baby quaker wait every time i say i m in wharton people make this face is it like bad or something ,57,-3,118,-0.13636363636363635,4 16
if i could rate her contributions in relation to milk it would be skim or reduced fat ,0,0,87,0,5 10
overheard starbs honestly i d give up sex for the rest of college for a return offer this summer ,37,0,99,0,5 5
 you really came into this building expecting anything other than disappointment kid reacting to drl water fountain not working,20,-2,130,-0.10526315789473684,5 7
